query,item_id,title,price,condition,category_id,seller_id,currency,ram_memory,model
Chromecast,MLA2012499596,Adaptador Smart Tv Box 4k Color Negro 32gb,41000,new,MLA352001,1124499880,ARS,4 GB,TV Box 4K
Chromecast,MLA1359027207,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,118999,new,MLA352001,456970476,ARS,2 GB,GA03131
Chromecast,MLA1870755884,Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro,70200,new,MLA352001,1070313715,ARS,2 GB,UHD Streaming Device
Chromecast,MLA1974041816,Xiaomi Mi Tv Stick Full Hd 8gb Chromecast Streaming Con Control Color Negro,70000,new,MLA352001,572922520,ARS,1 GB,Mi TV Stick
Chromecast,MLA1472422145,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,111999,new,MLA352001,1946156367,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1970572124,Chromecast Ga01919-us Google 4 Generación 4k 8gb Con 2gb De Memoria Ram,114999,new,MLA352001,1946156367,ARS,2 GB,Chromecast
Chromecast,MLA1433713863,Onn Google Tv Fhd Streaming Stick 2da Generación 8gb 1.5gb Ram Color Negro Control Remoto De Voz,64999.0,new,MLA352001,621229920,ARS,1.5 GB,FHD Streaming Stick
Chromecast,MLA1976418540,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,112999,new,MLA352001,821536236,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1929846314,Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.ª Generación Color Negro,104890,new,MLA352001,235131446,ARS,2 GB,MDZ-27-EU
Chromecast,MLA1475129595,Chromecast tv Gen 4 - 4k Hdr. Wifi+bth+c. Remoto,135900,new,MLA352001,1159314697,ARS,1.5 GB,GA01919-ES
Chromecast,MLA2005616226,Google Tv Streamer 4k Netflix Hdr 2024 Androidtv Color Blanco Tipo De Control Remoto De Voz,225741,new,MLA352001,821536236,ARS,4 GB,Streamer 4K
Chromecast,MLA2006690998,Tv Box 4k Hdmi Android  --el Más Rápido--,70000,new,MLA352001,2235368076,ARS,512 GB,TV Box 4K
Chromecast,MLA1949495790,Tv Box Smart Z8pro 32gb El Mas Rapido Full Apps!!,89990,new,MLA352001,98229044,ARS,4 GB,Chromecast with Google TV Z8
Chromecast,MLA1474341635,Control De Voz Xiaomi Mi Tv Stick Full Hd De 8 Gb Y 1 Gb De Ram,75138,new,MLA352001,33317938,ARS,1 GB,Mi TV Stick
Chromecast,MLA1446111253,Google Chromecast Ultra 4k Negro,211469.0,new,MLA352001,1803908857,ARS,,Chromecast Ultra
Chromecast,MLA2004123498,Mirascreen Anycast Wireless Dongle Tipo Chromecast /e Color Negro,29999,new,MLA352001,215572712,ARS,,EZCast
Chromecast,MLA1867531158,Google Chromecast 4 4k Ga01919 8gb 2gb + Cargador + Control,118999,new,MLA352001,1848533798,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1835129114,Google Chromecast 4 Hd Ga03131 8gb 2gb + Cargador + Control,110999,new,MLA352001,1848533798,ARS,2 GB,GA03131
Chromecast,MLA1382798627,Google Chromecast Ultra 4k Negro,80299,new,MLA352001,287054359,ARS,2 GB,Chromecast Ultra
Chromecast,MLA1451432065,Smart Tv Onn  Uhd Streaming Device 2° Gen 4k Color Negro,71900,new,MLA352001,82274172,ARS,2 GB,UHD Streaming Device
Chromecast,MLA1669104294,Google Chromecast Ultra 4k Negro (bulk) ,72369.2,new,MLA352001,181300200,ARS,2 GB,Chromecast Ultra
Chromecast,MLA2021377464,Google Chromecast Hd,124000,new,MLA352001,50520189,ARS,1.5 GB,HD
Chromecast,MLA1452960541,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,79499,new,MLA352001,148613909,ARS,1 GB,Mi TV Stick
Chromecast,MLA1906611378,Smart Tv Onn  Uhd Streaming Device 2° Gen 4k Color Negro,71990,new,MLA352001,1443311053,ARS,2 GB,UHD Streaming Device
Chromecast,MLA1912327352,Onn 4k 2gen Google Tv 2023 8gb + 2 Gb Ram + Fuente + Remoto,72999,new,MLA352001,1848533798,ARS,2 GB,UHD Streaming Device
Chromecast,MLA1946970286,Tv Box Gadnic Android 10.0 Hdmi 4k Chromecast Full Hd Color Negro Tipo De Control Remoto Estándar,59999,new,MLA352001,39144101,ARS,,Tx 2000
Chromecast,MLA1391312469,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Amazon Netflix ,124999,new,MLA352001,268317904,ARS,2 GB,MDZ-27-EU
Chromecast,MLA1455433017,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,80319.0,new,MLA352001,451257294,ARS,1 GB,Mi TV Stick
Chromecast,MLA1909501704,Xiaomi Mi Tv Stick 2a Gen 8gb Full Hd Mdz-24-aa,75499,new,MLA352001,148613909,ARS,1 GB,Mi TV Stick
Chromecast,MLA1962297998,Smart Tv Onn 4k Uhd Streaming Device 2° Gen - Desbloqueado,75000,new,MLA352001,679926440,ARS,2 GB,UHD Streaming Device
Chromecast,MLA1448028619,Chromecast Google Tv Hd 8gb 2gb Ram Hdmi 4ta Generacion,124000,new,MLA352001,50520189,ARS,2 GB,HD
Chromecast,MLA1438232247,Google Chromecast 4k 8gb Sky Control De Voz Ga01923-us 2gb,112990.68,new,MLA352001,201564269,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1361366203,Google Chromecast With Google Tv Hd 8gb Snow 2gb Ram,129499,new,MLA352001,148613909,ARS,2 GB,GA03131
Chromecast,MLA1451195339,"Google Chromecast Con Google Tv (4k) - Disfruta De Películas, Programas En Vivo En 4k Hdr - Color Nieve",185000,new,MLA352001,1159877969,ARS,,Chromecast with Google TV
Chromecast,MLA1442224189,Chromecast  Google Tv 4 Generación 4k 8gb Con Cargador,130000,new,MLA352001,255083266,ARS,2 GB,Chromecast
Chromecast,MLA885133507,Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto,299999,new,MLA352001,9198894,ARS,4 GB,Streamer 4K
Chromecast,MLA1462796143,Tivo Ipa1104hdw-01 Stream 4k Original Con Google Oficial Certificado 8gb De Almacenamiento 2gb De Ram,82839.0,new,MLA352001,330416373,ARS,2 GB,IPA1104HDW-01
Chromecast,MLA874470219,Xiaomi Mi Tv Stick Full Hd 8gb Con Control X Voz Chromecast,99999,new,MLA352001,268317904,ARS,1 GB,Mi TV Stick
Chromecast,MLA1441671447,Smart Tv Convertidor Hdmi 4k Full Hd Android 11 Pcreg,110999,new,MLA352001,666749750,ARS,2 GB,MDZ-27-EU
Chromecast,MLA1438193127,Xiaomi Mi Tv Stick 4k Android Google Tv Color Negro Tipo De Control Remoto De Voz,97846,new,MLA352001,1516979806,ARS,2 GB,Tv Box Mi Stick 4k
Chromecast,MLA2021605222,Smart Tv Onn Uhd Streaming Device Hd + Magls,72000,new,MLA352001,50520189,ARS,2 GB,HD
Chromecast,MLA1468045807,Chromecast Google Tv De Voz 4 Generación 4k 8gb Con Cargador,159000,new,MLA352001,255083266,ARS,2 GB,Chromecast
Chromecast,MLA1446415291,Chromecast Google Ga03131 Tv Hd Snow-smart Tv-control Remoto,108099,new,MLA352001,1946156367,ARS,2 GB,GA03131
Chromecast,MLA1944850726,Xiaomi Mi Tv Stick Mdz-27-eu 4k Uhd Conversor Smart Tv,98990.0,new,MLA352001,70413483,ARS,2 GB,MDZ-27-EU
Chromecast,MLA2012521480,Tv Box Watch Onn 4k Chromecast Solucionado Ubicación Negro,89500,new,MLA352001,151114793,ARS,2 GB,UHD Streaming Device
Chromecast,MLA1437855315,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,119999,new,MLA352001,39144101,ARS,1 GB,Mi TV Stick
Chromecast,MLA1150795107,Chromecast 4 Smart Tv Netflix Googletv 4k Hdr Control Remoto,128599,new,MLA352001,701293922,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1465095701,Chromecast With Google Tv De Voz 4 Generación 4k 8gb,121424,new,MLA352001,466232376,ARS,2 GB,Chromecast
Chromecast,MLA1425375959,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hd,121905,new,MLA352001,148613909,ARS,2 GB,GA03131
Chromecast,MLA1220061069,Xiaomi Mi Tv Stick Full Hd 1080p 8gb Android Chromecast Gtia,74999,new,MLA352001,53971387,ARS,1 GB,Mi TV Stick
Chromecast,MLA1476915627,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De,145999,new,MLA352001,1454215464,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1944764898,Xiaomi Mi Tv Stick Mdz-27-eu 4k Uhd Conversor Smart Tv,115990.0,new,MLA352001,70413483,ARS,2 GB,MDZ-27-EU
Chromecast,MLA1475057681,Google Chromecast Tv 4 1080p Fhd Control Remoto Wifi Hdmi Color Blanco,125900,new,MLA352001,50520189,ARS,2 GB,GOOHDMIIV
Chromecast,MLA1470869097,Tv Box / Apps / Bluetooth / Fhd / Tv,55000,new,MLA352001,75225071,ARS,,Chromecast with google
Chromecast,MLA1476941329,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De,129900,new,MLA352001,1454215464,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA2012293122,Conversor Smart Tv Box Full Hd Android 11 2gb + 16gb Rom,67999,new,MLA352001,1818639270,ARS,2 GB,Convertidor TV
Chromecast,MLA1478902185,Google Tv Streamer 4k Ga05662-us Blanco 32gb 4gb Voz,233490,new,MLA352001,466232376,ARS,4 GB,Streamer 4K
Chromecast,MLA1841244168,Google Chromecast Ultra 4k Hdr Wifi Ethernet Cable,158339.0,new,MLA352001,451257294,ARS,,Chromecast Ultra
Chromecast,MLA1663084514,Dcolor Chromecast Gd1 4k De Voz 4k 16gb Negro Con 2gb De Memoria Ram,105000,new,MLA352001,201020360,ARS,2 GB,Chromecast
Chromecast,MLA2010208530,Smart Tv Onn Uhd Streaming Device 2° Gen 4k App Dolby Audio,77300,new,MLA352001,9137597,ARS,2 GB,UHD Streaming Device
Chromecast,MLA1445090011,Google Chromecast 4 Generación Con Google Tv Blanco,132000,new,MLA352001,255083266,ARS,2 GB,Chromecast
Chromecast,MLA1370208899,Chromecast With Google Tv De Voz 4k 8gb Snow 2gb Ram,155500,new,MLA352001,1250965884,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1989304162,Google Chromecast 4k Chromecast With Google,124499,new,MLA352001,148613909,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1408611968,Google Chromecast 4k 8gb Snow Control De Voz Ga01919-us 2gb,117988.92,new,MLA352001,201564269,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1444441871,Chromecast Google Ga01919-us 4k 8gb 2gb Ram Bluetooth,115999,new,MLA352001,1848533798,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1931250070,Tv Stick 4k | Convertidor Smart Tv Box Android Tv,74999,new,MLA352001,1877306464,ARS,4 GB,TVR3
Chromecast,MLA869896383,Xiaomi Mi Tv Stick Full Hd Android Chromecast Netflix Amazon,98999,new,MLA352001,257077964,ARS,1 GB,Mi TV Stick
Chromecast,MLA1858473044,Google Chromecast 4 Generación Con Google Tv Hd Blanco,132000,new,MLA352001,255083266,ARS,1.5 GB,Chromecast
Chromecast,MLA1150769535,Google Chromecast With Google Tv 4k 8gb Snow Con 2gb De Ram,119999,new,MLA352001,701293922,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1880561222,Smart Tv Stick Xiaomi 4k De 2da Generación Android Tv Negro,109708,new,MLA352001,160885918,ARS,2 GB,MDZ-27-EU
Chromecast,MLA2017682178,Google Chromescat 3,120000,new,MLA352001,457921469,ARS,,Chromecast
Chromecast,MLA1220041782,Xiaomi Mi Tv Stick Full Hd Smart Android Netflix Amazon +,101999,new,MLA352001,53971387,ARS,1 GB,Mi TV Stick
Chromecast,MLA1129875802,Chromecast 4 Google Tv 4k Cuot-s S/ Inter-s + Cargador Orig.,178995.0,new,MLA352001,247639927,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1473728867,Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro,72999,new,MLA352001,287054359,ARS,2 GB,UHD Streaming Device
Chromecast,MLA1470087383,Chromcast 4k Con Google Tv Sky,173000,new,MLA352001,24324316,ARS,2 GB,Chromecast
Chromecast,MLA1439021777,Chromecast 4 Original Google Tv De Voz 4k 8gb,145530,new,MLA352001,278897053,ARS,2 GB,Chromecast 4 2015
Chromecast,MLA1883863590,Chromecast  Google Tv De Voz 4 Generación 4k 8gb Snow,145000,new,MLA352001,255083266,ARS,2 GB,Chromecast
Chromecast,MLA869897763,Xiaomi Mi Tv Stick Full Hd Android Chromecast Amazon Netflix,119999,new,MLA352001,257077964,ARS,1 GB,Mi TV Stick
Chromecast,MLA1121937411,Google Chromecast Google Tv De Voz 4k 8gb Cargador Original,162998.0,new,MLA352001,247639927,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA909696251,Google Chromecast 4 4ta Generac Streaming Tv Box 4k 8gb 2gb ,114999,new,MLA352001,52270943,ARS,2 GB,Chromecast
Chromecast,MLA1151042067,Google Chromecast With Google Tv De Voz 4k 8gb + Fuente 220!,162997.0,new,MLA352001,247639927,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1388893071,Xiaomi Stick 4k Control De Voz 4k 8gb Con 2gb De Memoria Ram,109306.0,new,MLA352001,134119519,ARS,2 GB,Stick 4k
Chromecast,MLA1437855519,Xiaomi Mi Tv Stick Resolucion Full Hd Control Bidcom,126399,new,MLA352001,39144101,ARS,1 GB,Mi TV Stick
Chromecast,MLA1778218792,Convertidor Xiaomi Tv Box S 2gen Oferta,129999,new,MLA352001,21444777,ARS,2 GB,Xiaomi TV Box S
Chromecast,MLA1380214521,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco,148000,new,MLA352001,255083266,ARS,2 GB,GA03131
Chromecast,MLA1133503688,Xiaomi Mi Tv Stick Full Hd 8gb Negro Con 1gb De Memoria Ram,98999,new,MLA352001,747830516,ARS,1 GB,Mi TV Stick
Chromecast,MLA908010344, Chromecast With Google Tv  De Voz 4k 8gb  Snow  Ram De 2gb,152509,new,MLA352001,167338436,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1472592261,Convertidor Smart Tv Box De 8 Gb A Ram 128 Gb Pro 4k - Andro,67999,new,MLA352001,1818639270,ARS,4 GB,TV Box 4K
Chromecast,MLA1437881153,Xiaomi Mi Tv Stick 1gb Ram Full Hd Con Control Color Negro,134949,new,MLA352001,39144101,ARS,1 GB,Mi TV Stick
Chromecast,MLA1886798300,Chromcast With Google Tv 4k,135000,new,MLA352001,24324316,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1104393417, Xiaomi Mi Tv Stick Full Hd 8gb Negro Con 1gb De Ram,91348,new,MLA352001,160885918,ARS,1 GB,Mi TV Stick
Chromecast,MLA728618823,Chromecast Version Miracast Netflix Youtube Spotify Ramos,239989.99,new,MLA352001,90583461,ARS,2 GB,GA01919-ES
Chromecast,MLA1452835293,Watch Onn Fhd Streaming Stick 2da Gen Full Hd 1.5gb Ram 8gb,95499.99,new,MLA352001,345302435,ARS,1.5 GB,FHD Streaming Stick
Chromecast,MLA1430039936,Google Chromecast With Google Tv De Voz 4k Cargador Original,178996.0,new,MLA352001,247639927,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1468596481,Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto,599999,new,MLA352001,9198894,ARS,4 GB,Streamer 4K
Chromecast,MLA1813598530,Chromecast 4 Google Tv 4k Hdr Control Remoto Smart Netflix,148899,new,MLA352001,701293922,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1437842167,Xiaomi Mi Tv Stick Full Hd Con Control Color Negro,146749,new,MLA352001,39144101,ARS,1 GB,Mi TV Stick
Chromecast,MLA1841433836,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,129999,new,MLA352001,15256165,ARS,1 GB,Mi TV Stick
Chromecast,MLA1443114037,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow C,135598,new,MLA352001,674990211,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA1160117408,Convertidor Smart Xiaomi Mi Tv Stick Amazon Disney Netflix,148919,new,MLA352001,723068152,ARS,1 GB,Mi TV Stick
Chromecast,MLA1501625752,Google Chromecast Con Google Tv 4k + Control Remoto,126163.0,new,MLA352001,213074722,ARS,2 GB,Chromecast with Google TV
Chromecast,MLA2005936046,Mi Box S 4k 8gb Negro 2gb Ram Negro Estándar,119000,used,MLA352001,2068519099,ARS,2 GB,Mi Box S
